startTime,endTime,latency
1708422962464,1708422962478,14
1708422962478,1708422962492,14
1708422962492,1708422962506,14
1708422962506,1708422962519,13
1708422962519,1708422962533,14
1708422962533,1708422962547,14
1708422962547,1708422962560,13
1708422962560,1708422962575,15
1708422962575,1708422962590,15
1708422962590,1708422962603,13
1708422962603,1708422962617,14
1708422962617,1708422962632,15
1708422962632,1708422962646,14
1708422962646,1708422962660,14
1708422962660,1708422962675,15
1708422962675,1708422962691,16
1708422962691,1708422962705,14
1708422962705,1708422962719,14
1708422962719,1708422962734,15
1708422962734,1708422962751,17
1708422962751,1708422962766,15
1708422962766,1708422962780,14
1708422962780,1708422962794,14
1708422962794,1708422962807,13
1708422962807,1708422962821,14
1708422962821,1708422962835,14
1708422962835,1708422962849,14
1708422962849,1708422962863,14
1708422962863,1708422962878,15
1708422962878,1708422962888,10
1708422962888,1708422962903,15
1708422962903,1708422962918,15
1708422962918,1708422962933,15
1708422962933,1708422962971,38
1708422962971,1708422962986,15
1708422962986,1708422963000,14
1708422963000,1708422963013,13
1708422963013,1708422963026,13
1708422963026,1708422963036,10
1708422963036,1708422963048,12
1708422963048,1708422963059,11
1708422963059,1708422963073,14
1708422963073,1708422963087,14
1708422963087,1708422963100,13
1708422963100,1708422963113,13
1708422963113,1708422963124,11
1708422963124,1708422963136,12
1708422963136,1708422963147,11
1708422963147,1708422963159,12
1708422963159,1708422963173,14
1708422963173,1708422963186,13
1708422963186,1708422963200,14
1708422963200,1708422963215,15
1708422963215,1708422963227,12
1708422963227,1708422963240,13
1708422963240,1708422963255,15
1708422963255,1708422963269,14
1708422963269,1708422963283,14
1708422963283,1708422963297,14
1708422963297,1708422963312,15
1708422963312,1708422963326,14
1708422963326,1708422963340,14
1708422963340,1708422963351,11
1708422963351,1708422963363,12
1708422963363,1708422963376,13
1708422963376,1708422963390,14
1708422963390,1708422963405,15
1708422963405,1708422963420,15
1708422963420,1708422963433,13
1708422963433,1708422963448,15
1708422963448,1708422963462,14
1708422963462,1708422963476,14
1708422963476,1708422963490,14
1708422963490,1708422963503,13
1708422963503,1708422963518,15
1708422963518,1708422963532,14
1708422963532,1708422963546,14
1708422963546,1708422963561,15
1708422963561,1708422963575,14
1708422963575,1708422963589,14
1708422963589,1708422963603,14
1708422963603,1708422963618,15
1708422963618,1708422963632,14
1708422963632,1708422963646,14
1708422963646,1708422963659,13
1708422963659,1708422963672,13
1708422963672,1708422963686,14
1708422963686,1708422963701,15
1708422963701,1708422963714,13
1708422963714,1708422963728,14
1708422963728,1708422963742,14
1708422963742,1708422963756,14
1708422963756,1708422963767,11
1708422963767,1708422963781,14
1708422963781,1708422963795,14
1708422963795,1708422963810,15
1708422963810,1708422963825,15
1708422963825,1708422963838,13
1708422963838,1708422963853,15
1708422963853,1708422963867,14
1708422963867,1708422963881,14
1708422963881,1708422963895,14
1708422963895,1708422963910,15
1708422963910,1708422963924,14
1708422963924,1708422963939,15
1708422963939,1708422963953,14
1708422963953,1708422963968,15
1708422963968,1708422963981,13
1708422963981,1708422963996,15
1708422963996,1708422964011,15
1708422964011,1708422964024,13
1708422964024,1708422964039,15
1708422964039,1708422964053,14
1708422964053,1708422964068,15
1708422964068,1708422964083,15
1708422964083,1708422964096,13
1708422964096,1708422964111,15
1708422964111,1708422964125,14
1708422964125,1708422964139,14
1708422964139,1708422964154,15
1708422964154,1708422964169,15
1708422964169,1708422964183,14
1708422964183,1708422964196,13
1708422964196,1708422964209,13
1708422964209,1708422964223,14
1708422964223,1708422964238,15
1708422964238,1708422964252,14
1708422964252,1708422964267,15
1708422964267,1708422964281,14
1708422964281,1708422964295,14
1708422964295,1708422964309,14
1708422964309,1708422964323,14
1708422964323,1708422964337,14
1708422964337,1708422964351,14
1708422964351,1708422964366,15
1708422964366,1708422964378,12
1708422964378,1708422964393,15
1708422964393,1708422964407,14
1708422964407,1708422964421,14
1708422964421,1708422964434,13
1708422964434,1708422964448,14
1708422964448,1708422964462,14
1708422964462,1708422964475,13
1708422964475,1708422964490,15
1708422964490,1708422964503,13
1708422964503,1708422964517,14
